Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:35:26
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,4,
Maximum Individual Tree Depth:,8,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,If <=,Plus,Minus,Multi,
Terminal Set:,
CountNeightbors,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
22,Reicllzzzz,0.0,Mjolzzzzzz,5.3,0.991999999999999,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(F: Plus(T: WinOrBlock e)(T: ColumnStreak f))(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: RowStreak e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(F: Plus(F: If <=(T: CountNeightbors e)(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f)))(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak e))(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: CountNeightbors f))(T: DiagMainStreak f)))),
23,Mjolzzzlzz,0.0,Mjolzzzlzz,4.3,1.1819999999999993,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: ColumnStreak f)(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: ColumnStreak f)(F: Plus(T: ColumnStreak f)(T: CountNeightbors f))(T: DiagMainStreak f)))),
24,Mjolzzzzlz,0.0,Mjolzzzzlz,3.0,0.9419999999999993,([F: Plus](F: Minus(F: Minus(T: ColumnStreak e)(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f)))(F: Minus(F: Plus(T: WinOrBlock f)(T: RowStreak e))(F: Plus(T: CountNeightbors e)(T: WinOrBlock e))))(F: If <=(F: Multi(T: WinOrBlock e)(T: ColumnStreak f))(F: Plus(T: DiagSecStreak f)(T: CountNeightbors e))(F: Multi(T: RowStreak f)(F: Plus(F: If <=(T: ColumnStreak f)(F: Plus(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: ColumnStreak f)(T: RowStreak e))(F: Plus(T: WinOrBlock e)(T: ColumnStreak f)))(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak e))(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: RowStreak f))))(F: If >=(T: RowStreak e)(T: RowStreak f)(T: ColumnStreak f)(T: CountNeightbors f)))),
25,Mjolzzzlzz,0.0,Mjolzzzlzz,3.7,1.0119999999999991,([F: Plus](F: Minus(F: Minus(T: ColumnStreak e)(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f)))(F: Minus(F: Plus(T: WinOrBlock f)(T: RowStreak e))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock e))))(F: If <=(F: Multi(T: WinOrBlock e)(T: ColumnStreak f))(T: WinOrBlock e)(F: Multi(T: RowStreak f)(T: DiagMainStreak f))(F: If >=(T: RowStreak e)(T: RowStreak f)(T: ColumnStreak f)(T: CountNeightbors f)))),
26,Mjolzzzzlz,0.0,Mjolzzzzzz,3.0,0.9439999999999991,([F: Plus](F: Minus(F: Minus(T: ColumnStreak e)(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f)))(F: Minus(F: Plus(T: WinOrBlock f)(T: DiagMainStreak f))(F: Plus(T: DiagMainStreak f)(T: WinOrBlock e))))(F: If <=(F: Multi(T: WinOrBlock e)(T: ColumnStreak f))(T: WinOrBlock e)(F: Multi(T: RowStreak f)(T: DiagMainStreak f))(F: If >=(T: RowStreak e)(T: RowStreak f)(T: ColumnStreak f)(T: CountNeightbors f)))),
27,Mjolzzzlzz,0.0,Mjolzzzzzz,3.0,0.8609999999999987,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(T: RowStreak e)))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: If <=(F: Minus(T: CountNeightbors f)(T: RowStreak f))(F: Minus(T: WinOrBlock e)(T: ColumnStreak f))(F: If <=(T: CountNeightbors e)(T: RowStreak f)(T: DiagMainStreak f)(T: DiagSecStreak e))(F: If >=(T: CountNeightbors e)(T: WinOrBlock e)(T: RowStreak e)(T: RowStreak f)))(F: If <=(T: WinOrBlock f)(T: ColumnStreak f)(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
28,Mjolzzzzzz,0.0,Mjolzzzzzz,3.0,0.869999999999999,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: RowStreak e)(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
29,Mjolzzzzzz,0.0,Mjolzzzzzz,5.3,1.0759999999999992,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: ColumnStreak f)(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
30,Mjolzzzzzz,0.0,Mjolzzzzzz,4.6,0.8079999999999988,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
31,Mjolzzzzzz,0.0,Mjolzzzzzz,4.6,0.9259999999999989,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(F: Minus(T: RowStreak f)(T: CountNeightbors e))(T: RowStreak e)(T: DiagMainStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: CountNeightbors e)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagSecStreak f)(T: WinOrBlock e)(T: DiagSecStreak f)))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
32,Mjolzzzzzz,0.0,Mjolzzzzzz,3.0,0.8689999999999989,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: WinOrBlock f)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagMainStreak f)(T: WinOrBlock e)(F: Minus(T: WinOrBlock f)(T: WinOrBlock e))))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: RowStreak e)(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
33,Mjolzzzzzz,0.0,Mjolzzzzzz,3.3,0.9819999999999989,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: WinOrBlock f)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagMainStreak f)(T: WinOrBlock e)(F: Minus(T: WinOrBlock f)(T: WinOrBlock e))))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: RowStreak e)(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
34,Mjolzzzzzz,0.0,Mjolzzzzzz,4.6,0.8879999999999986,([F: Plus](F: Minus(F: Minus(T: RowStreak e)(F: Multi(T: WinOrBlock f)(F: If <=(T: WinOrBlock f)(T: RowStreak e)(T: DiagMainStreak e)(T: RowStreak e))))(F: If <=(F: Minus(T: ColumnStreak f)(T: ColumnStreak f))(T: DiagMainStreak f)(T: WinOrBlock e)(F: Minus(T: WinOrBlock f)(T: WinOrBlock e))))(F: Multi(F: Minus(T: DiagSecStreak f)(T: ColumnStreak f))(F: If <=(T: WinOrBlock f)(T: RowStreak e)(F: Plus(F: Multi(T: WinOrBlock f)(T: DiagMainStreak f))(T: CountNeightbors f))(T: DiagMainStreak f)))),
