Genetic Tic Tac Toe Experiment
Experiment Time: 26/06/2016 15:10:20
Experiment Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,200,
Max Generations:,50,
Select Maximal Index Method:,Random,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,7,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
CountNeightbors,CountRow,CountColumn,DiagMainStreak,CountDiagSec,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,RandVal,IsRandIndex,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
24,Azakaaaaaa,39.5,Azakaaaaaa,414.5,288.3220000000001,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(F: Plus(F: Plus(T: WinOrBlock e)(T: RowStreak f))(T: ColumnStreak f))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(T: DiagSecStreak e)(T: WinOrBlock e))),
25,Azakaaaaaa,27.9,Azakaaaaaa,423.5,274.24499999999995,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(T: DiagSecStreak e)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(F: Plus(T: CountRow e)(T: DiagMainStreak f))(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
26,Azakaaaaaa,49.7,Azakaaaaaa,413.6,280.12299999999993,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: If >=(T: DiagSecStreak e)(T: WinOrBlock f)(T: IsRandIndex 26)(T: DiagMainStreak e))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: DiagSecStreak e))(F: Plus(T: ColumnStreak e)(T: ColumnStreak f))(T: WinOrBlock f)))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(T: IsRandIndex 98)(T: WinOrBlock e))),
27,Azakaaaaaa,43.7,Azakaaaaaa,426.0,281.772,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(T: IsRandIndex 98)(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 74)(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))(T: ColumnStreak f))),
28,Azakaaaaaa,35.7,Azakaaaaaa,420.2,280.4575,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(F: Plus(T: RowStreak f)(T: DiagSecStreak f))(T: RowStreak e))))(F: Plus(F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(T: DiagSecStreak f))(T: RowStreak f))(T: ColumnStreak f))(F: If >=(T: DiagSecStreak e)(F: Plus(T: WinOrBlock f)(T: WinOrBlock f))(F: Plus(T: RandVal 5)(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))),
29,Azakaaaaaa,24.299999999999997,Azakaaaaaa,419.7,278.025,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: ColumnStreak f))(F: If >=(T: CountNeightbors e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: DiagMainStreak f)(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(T: WinOrBlock e))),
30,Azakaaaaaa,58.1,Azakaaaaaa,427.09999999999997,276.64000000000004,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: ColumnStreak f))(F: If >=(T: CountNeightbors e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: DiagMainStreak f)(T: DiagMainStreak e))(T: WinOrBlock f))))(F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(T: WinOrBlock e))),
31,Azakaaaaaa,58.7,Azakaaaaaa,414.0,282.5905000000001,([F: Plus](F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(T: DiagSecStreak e)(T: RowStreak f)))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e)))(F: If >=(T: RowStreak e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(T: IsRandIndex 98)(T: RowStreak e))(T: WinOrBlock f)))(F: If >=(F: Plus(T: IsRandIndex 74)(T: ColumnStreak f))(F: Plus(T: WinOrBlock f)(T: RowStreak f))(F: Plus(F: Plus(T: IsRandIndex 75)(T: WinOrBlock e))(T: ColumnStreak f))(T: DiagSecStreak e))))(T: DiagMainStreak e)),
32,Azakaaaaaa,63.1,Azakaaaaaa,421.5,277.37950000000006,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(T: ColumnStreak f))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: ColumnStreak f))(F: If >=(T: CountNeightbors e)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: RowStreak f)(T: WinOrBlock f))))(F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(T: WinOrBlock e))),
33,Azakaaaaaa,11.0,Azakaaaaaa,421.5,276.1805,([F: Plus](F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(T: WinOrBlock f)(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(F: Plus(F: Plus(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: DiagMainStreak e))(F: If >=(T: DiagMainStreak f)(F: Plus(T: WinOrBlock f)(T: RowStreak f))(T: WinOrBlock e)(T: WinOrBlock f))))(F: Plus(F: Plus(F: Plus(T: DiagMainStreak f)(F: Plus(F: Plus(T: ColumnStreak e)(T: RowStreak f))(T: DiagSecStreak f)))(F: Plus(T: DiagSecStreak e)(F: Plus(T: IsRandIndex 41)(T: RowStreak e))))(T: WinOrBlock e))),
