Genetic Tic Tac Toe Experiment
Experiment Time: 23/06/2016 11:42:41
Expirement Parameters:,
Board Size:,10,
Required Streak:,5,
Population Size:,100,
Max Generations:,50,
Select Maximal Index Method:,First,
Initial Individual Tree Depth:,3,
Maximum Individual Tree Depth:,7,
Crossover Probability:,0.8,
Mutation Probability:,0.2,
,
Function Set:,
If >=,Plus,
Terminal Set:,
CountNeightbors,RowStreak,ColumnStreak,DiagMainStreak,DiagSecStreak,WinOrBlock,
,
Generation,Worst Individual Name,Worst Individual Fitness,Best Individual Name,Best Individual Fitness,Average Fitness,Best Individual Tree,
22,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.4090000000000016,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
23,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.431000000000001,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
24,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.377000000000001,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
25,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.207000000000001,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
26,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.415,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
27,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.1870000000000003,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
28,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.299000000000001,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
29,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.350000000000002,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
30,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.3690000000000024,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
31,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.256000000000002,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
32,Bremaaaaaa,0.0,Bremaaaaaa,4.6,3.110000000000001,([F: If >=](F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(T: DiagSecStreak f))(F: If >=(F: Plus(T: RowStreak e)(T: CountNeightbors e))(F: Plus(T: ColumnStreak e)(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(F: Plus(T: RowStreak e)(T: DiagSecStreak f))(F: If >=(T: DiagMainStreak f)(T: DiagMainStreak e)(T: CountNeightbors e)(T: RowStreak f))))(F: If >=(T: WinOrBlock f)(T: DiagMainStreak e)(T: RowStreak f)(T: DiagSecStreak f))(F: If >=(T: CountNeightbors e)(T: WinOrBlock f)(F: If >=(T: CountNeightbors e)(T: RowStreak f)(T: DiagSecStreak e)(T: DiagSecStreak e))(T: DiagSecStreak e))))(F: Plus(T: ColumnStreak f)(T: WinOrBlock f))(F: Plus(T: DiagMainStreak e)(T: DiagMainStreak e))(F: Plus(T: ColumnStreak e)(T: WinOrBlock f))),
